Currency,Rate,Date,Time,Request time[ms]
CHF,4.9196,26 Aug 2022, 14:37:57,104.01
CHF,4.9196,26 Aug 2022, 14:38:19,1082.79
CHF,4.9196,26 Aug 2022, 14:38:36,66.95
CHF,4.9196,26 Aug 2022, 14:38:51,81.38
